epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,310.044,2.6233,1.28436,0.93144,0.60914,0.4918,0.47134,0.18575,2.6136,2.54688,0.9499,0.00099314,0.00099314,0.00099314
44,317.278,2.79062,1.38621,0.89007,0.60914,0.4918,0.47134,0.18575,2.6136,2.54688,0.9499,0.000999282,0.000999282,0.000999282
45,323.938,2.60339,1.31718,0.93915,0.60914,0.4918,0.47134,0.18575,2.6136,2.54688,0.9499,0.00100463,0.00100463,0.00100463
46,330.302,2.36517,1.23879,0.94893,0.61037,0.53934,0.52821,0.16567,2.54661,3.15537,0.96564,0.00100919,0.00100919,0.00100919
47,336.67,2.46657,1.24003,0.96956,0.61037,0.53934,0.52821,0.16567,2.54661,3.15537,0.96564,0.00101296,0.00101296,0.00101296
48,342.899,2.63573,1.32464,0.92003,0.61037,0.53934,0.52821,0.16567,2.54661,3.15537,0.96564,0.00101593,0.00101593,0.00101593
49,349.088,2.4777,1.29718,0.93598,0.61037,0.53934,0.52821,0.16567,2.54661,3.15537,0.96564,0.00101811,0.00101811,0.00101811
50,355.463,2.40588,1.22682,0.98003,0.65447,0.4918,0.47725,0.12354,3.09829,3.61965,1.07097,0.0010195,0.0010195,0.0010195
51,361.443,2.57633,1.26615,0.92774,0.65447,0.4918,0.47725,0.12354,3.09829,3.61965,1.07097,0.00101,0.00101,0.00101
52,367.395,2.69531,1.29132,0.92575,0.65447,0.4918,0.47725,0.12354,3.09829,3.61965,1.07097,0.0009902,0.0009902,0.0009902
53,373.397,2.70583,1.26178,0.93023,0.65447,0.4918,0.47725,0.12354,3.09829,3.61965,1.07097,0.0009704,0.0009704,0.0009704
54,379.703,2.47804,1.2438,0.94906,0.74068,0.59016,0.61808,0.2394,2.63478,2.44366,0.97778,0.0009506,0.0009506,0.0009506
55,385.923,2.72641,1.26608,0.9526,0.74068,0.59016,0.61808,0.2394,2.63478,2.44366,0.97778,0.0009308,0.0009308,0.0009308
56,391.825,2.43736,1.23132,0.91954,0.74068,0.59016,0.61808,0.2394,2.63478,2.44366,0.97778,0.000911,0.000911,0.000911
57,397.822,2.42137,1.18923,0.91627,0.74068,0.59016,0.61808,0.2394,2.63478,2.44366,0.97778,0.0008912,0.0008912,0.0008912
58,404.2,2.59467,1.27396,0.92311,0.7714,0.66391,0.71247,0.33447,2.1119,1.60487,0.90027,0.0008714,0.0008714,0.0008714
59,410.556,2.56904,1.35097,1.02307,0.7714,0.66391,0.71247,0.33447,2.1119,1.60487,0.90027,0.0008516,0.0008516,0.0008516
60,417.087,2.26693,1.24923,0.9245,0.7714,0.66391,0.71247,0.33447,2.1119,1.60487,0.90027,0.0008318,0.0008318,0.0008318
61,423.906,2.49317,1.24231,0.93277,0.7714,0.66391,0.71247,0.33447,2.1119,1.60487,0.90027,0.000812,0.000812,0.000812
62,430.639,2.62954,1.2218,0.9385,0.75378,0.70266,0.7296,0.35262,1.97038,1.34697,0.88582,0.0007922,0.0007922,0.0007922
63,437.044,2.76233,1.31432,0.87083,0.75378,0.70266,0.7296,0.35262,1.97038,1.34697,0.88582,0.0007724,0.0007724,0.0007724
64,443.452,2.5406,1.23867,0.88125,0.75378,0.70266,0.7296,0.35262,1.97038,1.34697,0.88582,0.0007526,0.0007526,0.0007526
65,449.182,2.31482,1.2103,0.88946,0.75378,0.70266,0.7296,0.35262,1.97038,1.34697,0.88582,0.0007328,0.0007328,0.0007328
66,455.195,2.43867,1.18247,0.8936,0.77296,0.70492,0.73843,0.38047,1.94969,1.19837,0.88448,0.000713,0.000713,0.000713
67,460.442,2.19449,1.0568,0.91002,0.77296,0.70492,0.73843,0.38047,1.94969,1.19837,0.88448,0.0006932,0.0006932,0.0006932
68,465.757,2.3574,1.1167,0.9548,0.77296,0.70492,0.73843,0.38047,1.94969,1.19837,0.88448,0.0006734,0.0006734,0.0006734
69,471.294,2.24003,1.15726,0.92493,0.77296,0.70492,0.73843,0.38047,1.94969,1.19837,0.88448,0.0006536,0.0006536,0.0006536
70,477.004,2.47239,1.14044,0.86999,0.80025,0.65574,0.73936,0.36209,2.10398,1.20548,0.90291,0.0006338,0.0006338,0.0006338
71,482.531,2.38763,1.16357,0.94873,0.80025,0.65574,0.73936,0.36209,2.10398,1.20548,0.90291,0.000614,0.000614,0.000614
72,488.353,2.9187,1.25717,0.89996,0.80025,0.65574,0.73936,0.36209,2.10398,1.20548,0.90291,0.0005942,0.0005942,0.0005942
73,493.847,2.60022,1.22957,0.91577,0.80025,0.65574,0.73936,0.36209,2.10398,1.20548,0.90291,0.0005744,0.0005744,0.0005744
74,499.568,2.28189,1.07771,0.91463,0.89281,0.65574,0.75571,0.3912,1.96247,1.17386,0.88216,0.0005546,0.0005546,0.0005546
75,505.424,2.28804,1.1181,0.87907,0.89281,0.65574,0.75571,0.3912,1.96247,1.17386,0.88216,0.0005348,0.0005348,0.0005348
76,510.968,2.35209,1.16209,0.96234,0.89281,0.65574,0.75571,0.3912,1.96247,1.17386,0.88216,0.000515,0.000515,0.000515
77,516.768,2.04176,1.0199,0.95624,0.89281,0.65574,0.75571,0.3912,1.96247,1.17386,0.88216,0.0004952,0.0004952,0.0004952
78,522.6,2.52159,1.1386,0.88459,0.92853,0.63892,0.76893,0.40202,1.88154,1.18423,0.87188,0.0004754,0.0004754,0.0004754
79,528.295,2.34127,1.14812,0.93183,0.92853,0.63892,0.76893,0.40202,1.88154,1.18423,0.87188,0.0004556,0.0004556,0.0004556
80,533.976,2.2191,1.07,0.91687,0.92853,0.63892,0.76893,0.40202,1.88154,1.18423,0.87188,0.0004358,0.0004358,0.0004358
81,539.448,2.45453,1.1469,0.92026,0.92853,0.63892,0.76893,0.40202,1.88154,1.18423,0.87188,0.000416,0.000416,0.000416
82,545.09,2.1195,1.15845,0.87684,0.92828,0.63658,0.77073,0.38171,1.89936,1.18684,0.87024,0.0003962,0.0003962,0.0003962
